# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
# All scalar field variables are dimensionless. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_scf            16:(.)p_scf              17:Omega_phi_scf         18:theta_phi_scf         19:y_phi_scf             20:gr.fac. D             21:gr.fac. f          
       1.000000000000e+14       7.558503632333e-26       4.634785000235e-09       2.157545946617e+22       1.416504186390e+04       1.416504186390e-10       1.416504186390e+18       2.675958164853e-09       2.751560535470e+44       2.451390603497e+33       5.077926941589e+30       3.492912981895e-08       1.903443976270e+44       4.655004511765e+44       1.259278054663e+11      -1.259278054663e+11      -7.729271236450e+01       2.899590625092e-16       1.449795312546e-15       5.370564075033e-18       2.000000000003e+00 
       9.930486593843e+13       7.664693049863e-26       4.667526809499e-09       2.127654528151e+22       1.416504186390e+04       1.426419715695e-10       1.406657583307e+18       2.694689872007e-09       2.675846458098e+44       2.400623788821e+33       4.972766150153e+30       3.492912981895e-08       1.851067333040e+44       4.526913791163e+44       1.259278054663e+11      -1.259278054663e+11      -7.726480990955e+01       2.940326973784e-16       1.470163486892e-15       5.446015129723e-18       2.000000000002e+00 
       9.861456399050e+13       7.772374322521e-26       4.700268618762e-09       2.098177236161e+22       1.416504186390e+04       1.436404653705e-10       1.396879427316e+18       2.713552701111e-09       2.602215788102e+44       2.350908324129e+33       4.869783175015e+30       3.492912981895e-08       1.800131926217e+44       4.402347714342e+44       1.259278054663e+11      -1.259278054663e+11      -7.723690745461e+01       2.981635627439e-16       1.490817813719e-15       5.522526196281e-18       2.000000000002e+00 
       9.792906056653e+13       7.881568409378e-26       4.733010428026e-09       2.069108333188e+22       1.416504186390e+04       1.446459486280e-10       1.387169242617e+18       2.732547570019e-09       2.530611196824e+44       2.302222436600e+33       4.768932914919e+30       3.492912981895e-08       1.750598097619e+44       4.281209294466e+44       1.259278054663e+11      -1.259278054663e+11      -7.720900499966e+01       3.023524626368e-16       1.511762313184e-15       5.600112166813e-18       2.000000000002e+00 
       9.724832231036e+13       7.992296563961e-26       4.765752237290e-09       2.040442161264e+22       1.416504186390e+04       1.456584702684e-10       1.377526556720e+18       2.751675403009e-09       2.460976933110e+44       2.254544804314e+33       4.670171202628e+30       3.492912981895e-08       1.702427280332e+44       4.163404213464e+44       1.259278054663e+11      -1.259278054663e+11      -7.718110254472e+01       3.066002123844e-16       1.533001061922e-15       5.678788142644e-18       2.000000000002e+00 
       9.657231609767e+13       8.104580338388e-26       4.800313035958e-09       2.012173140809e+22       1.416504186390e+04       1.466780795603e-10       1.367950900417e+18       2.770937130830e-09       2.393258779894e+44       2.207854546917e+33       4.573454785583e+30       3.492912981895e-08       1.655581968676e+44       4.048840748593e+44       1.259278054663e+11      -1.259278054663e+11      -7.715320008977e+01       3.109076387682e-16       1.554538193841e-15       5.758569437260e-18       2.000000000002e+00 
       9.590100903443e+13       8.218441587562e-26       4.833054845221e-09       1.984295769543e+22       1.416504186390e+04       1.477048261172e-10       1.358441807763e+18       2.790333690746e-09       2.327404011992e+44       2.162131216471e+33       4.478741306956e+30       3.492912981895e-08       1.610025689011e+44       3.937429701025e+44       1.259278054663e+11      -1.259278054663e+11      -7.712529763483e+01       3.152755801853e-16       1.576377900926e-15       5.839471579285e-18       2.000000000002e+00 
       9.523436845525e+13       8.333902473426e-26       4.867615643889e-09       1.956804621416e+22       1.416504186390e+04       1.487387599001e-10       1.348998816051e+18       2.809866026581e-09       2.263361355047e+44       2.117354788506e+33       4.385989287107e+30       3.492912981895e-08       1.565722971329e+44       3.829084326396e+44       1.259278054663e+11      -1.259278054663e+11      -7.709739517988e+01       3.197048868113e-16       1.598524434056e-15       5.921510315502e-18       2.000000000001e+00 
       9.457236192179e+13       8.450985469275e-26       4.900357453153e-09       1.929694345556e+22       1.416504186390e+04       1.497799312194e-10       1.339621465790e+18       2.829535088767e-09       2.201080945604e+44       2.073505653244e+33       4.295158105413e+30       3.492912981895e-08       1.522639321645e+44       3.723720267270e+44       1.259278054663e+11      -1.259278054663e+11      -7.706949272493e+01       3.241964207661e-16       1.620982103830e-15       6.004701613924e-18       2.000000000001e+00 
       9.391495722125e+13       8.569713364133e-26       4.934918251820e-09       1.902959665219e+22       1.416504186390e+04       1.508283907379e-10       1.330309300685e+18       2.849341834388e-09       2.140514292293e+44       2.030564607016e+33       4.206207982478e+30       3.492912981895e-08       1.480741195137e+44       3.621255487451e+44       1.259278054663e+11      -1.259278054663e+11      -7.704159026999e+01       3.287510562814e-16       1.643755281407e-15       6.089061666899e-18       2.000000000001e+00 
