# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.494814832807e-10       7.287138024032e-15       4.813884846957e-13       0.000000000000e+00       8.824625369449e-09       4.854313198208e-10      -2.509259701685e-12 
    3       1.409109776063e-10       1.233889773799e-14       6.057230439599e-13       0.000000000000e+00       5.420116557761e-09       3.460040237597e-10      -2.206924744469e-12 
    4       1.324535236019e-10       1.440597558266e-14       6.265686680167e-13       0.000000000000e+00       3.766623801085e-09       2.633898175758e-10      -1.760417154514e-12 
    5       1.257504716004e-10       1.332176094677e-14       5.867529102789e-13       0.000000000000e+00       2.811313185162e-09       2.090132428983e-10      -1.306612851127e-12 
    6       1.208111737748e-10       1.027891412901e-14       5.163250716611e-13       0.000000000000e+00       2.196135837256e-09       1.706906656865e-10      -8.927942607867e-13 
    7       1.173399181415e-10       6.812450312026e-15       4.356613988710e-13       0.000000000000e+00       1.771999401057e-09       1.423958587124e-10      -5.430689061749e-13 
    8       1.150175277785e-10       4.025643626925e-15       3.569978672194e-13       0.000000000000e+00       1.464688430739e-09       1.207652980333e-10      -2.681935142168e-13 
    9       1.135987692317e-10       2.327396374549e-15       2.875844003788e-13       0.000000000000e+00       1.233360327083e-09       1.037795268790e-10      -6.979015559898e-14 
   10       1.128699423450e-10       1.566334550175e-15       2.314885874664e-13       0.000000000000e+00       1.054019269203e-09       9.019357472107e-11       5.746866076798e-14 
   11       1.126911629751e-10       1.341791617951e-15       1.903815555420e-13       0.000000000000e+00       8.886957544380e-10       7.947299546238e-11       1.231705029739e-13 
   12       1.129539687403e-10       1.284549352434e-15       1.639881897265e-13       0.000000000000e+00       7.765339246906e-10       7.025126395519e-11       1.419382268210e-13 
   13       1.135386419337e-10       1.197229060899e-15       1.505387558285e-13       0.000000000000e+00       6.844622029879e-10       6.271820800607e-11       1.275298505330e-13 
   14       1.143465134462e-10       1.051860495848e-15       1.474206173398e-13       0.000000000000e+00       6.078562657828e-10       5.618750002703e-11       9.266270085532e-14 
   15       1.153840483562e-10       9.081759360498e-16       1.516955383327e-13       0.000000000000e+00       5.433745368784e-10       5.073172344059e-11       4.955426694934e-14 
   16       1.166120167536e-10       8.273453088772e-16       1.603444846106e-13       0.000000000000e+00       4.885502008264e-10       4.610758482210e-11       7.283567024072e-15 
   17       1.179479159905e-10       8.268039976442e-16       1.708101937320e-13       0.000000000000e+00       4.415197599306e-10       4.211502741410e-11      -2.781848862219e-14 
   18       1.193950516977e-10       8.792771272330e-16       1.813002644345e-13       0.000000000000e+00       4.006991780021e-10       3.856826555155e-11      -5.220870676619e-14 
   19       1.209615148296e-10       9.521479859595e-16       1.908424380994e-13       0.000000000000e+00       3.654409606603e-10       3.543751901447e-11      -6.499317056210e-14 
   20       1.225920578477e-10       1.011956716811e-15       1.986599554076e-13       0.000000000000e+00       3.343865917614e-10       3.266972942154e-11      -6.698094248255e-14 
   21       1.242986424609e-10       1.061704032686e-15       2.048216204217e-13       0.000000000000e+00       3.070486357496e-10       3.022104017902e-11      -6.030643967940e-14 
   22       1.260807603613e-10       1.119560909987e-15       2.097819649255e-13       0.000000000000e+00       2.827733553413e-10       2.801066677085e-11      -4.832035524885e-14 
   23       1.279273637181e-10       1.204761423307e-15       2.140154284842e-13       0.000000000000e+00       2.612272475113e-10       2.600822527297e-11      -3.397476461656e-14 
   24       1.298061660114e-10       1.335683031503e-15       2.180698437548e-13       0.000000000000e+00       2.419124941909e-10       2.418073583561e-11      -2.037423321940e-14 
   25       1.317343723345e-10       1.512747151155e-15       2.224084846440e-13       0.000000000000e+00       2.246022030771e-10       2.253718856942e-11      -9.358809210154e-15 
   26       1.337247412179e-10       1.729033265351e-15       2.274318791284e-13       0.000000000000e+00       2.089833698940e-10       2.107917932930e-11      -2.260956435890e-15 
   27       1.357581712096e-10       1.978186989706e-15       2.331759625388e-13       0.000000000000e+00       1.948687427945e-10       1.977310043459e-11       7.232146779206e-16 
   28       1.377985987682e-10       2.253844920018e-15       2.394899915012e-13       0.000000000000e+00       1.820150466164e-10       1.856756704125e-11      -2.389177813059e-17 
   29       1.398557723581e-10       2.555498410925e-15       2.460750406880e-13       0.000000000000e+00       1.703567249105e-10       1.745837585140e-11      -3.698877304251e-15 
   30       1.419441156175e-10       2.884335630794e-15       2.524907665250e-13       0.000000000000e+00       1.597686887431e-10       1.644738936807e-11      -9.076663138633e-15 
   31       1.440676765831e-10       3.240925119275e-15       2.582155406105e-13       0.000000000000e+00       1.500350777807e-10       1.552715798605e-11      -1.472137636611e-14 
   32       1.462293875221e-10       3.623149309990e-15       2.628618940386e-13       0.000000000000e+00       1.411057011690e-10       1.468840893555e-11      -1.977002200521e-14 
   33       1.484225442864e-10       4.027396509021e-15       2.660305808433e-13       0.000000000000e+00       1.329174844954e-10       1.391343761478e-11      -2.341563527350e-14 
   34       1.506342543351e-10       4.450555647416e-15       2.673387688262e-13       0.000000000000e+00       1.253559238763e-10       1.318061863706e-11      -2.491756885233e-14 
   35       1.528710943406e-10       4.895343166140e-15       2.667288370917e-13       0.000000000000e+00       1.183823781900e-10       1.249055353469e-11      -2.437577522418e-14 
   36       1.551407717956e-10       5.366909112788e-15       2.642702221016e-13       0.000000000000e+00       1.119409644850e-10       1.184820396908e-11      -2.223809826050e-14 
   37       1.574456105754e-10       5.870572246636e-15       2.600734687328e-13       0.000000000000e+00       1.059479200313e-10       1.125560971978e-11      -1.905622343910e-14 
   38       1.597860804162e-10       6.408591327295e-15       2.542615419197e-13       0.000000000000e+00       1.003877963013e-10       1.071162850817e-11      -1.530746215649e-14 
   39       1.621572016776e-10       6.982371802495e-15       2.469945543486e-13       0.000000000000e+00       9.524298080401e-11       1.021156170136e-11      -1.152912012389e-14 
   40       1.645467119578e-10       7.593328390104e-15       2.384812850342e-13       0.000000000000e+00       9.046443484405e-11       9.746808236367e-12      -8.375567655359e-15 
   41       1.669406990466e-10       8.242637142843e-15       2.289198052393e-13       0.000000000000e+00       8.598878597697e-11       9.307600775722e-12      -6.453601675165e-15 
   42       1.693443730125e-10       8.930398439039e-15       2.182889505876e-13       0.000000000000e+00       8.180288771586e-11       8.893065784500e-12      -5.746646001102e-15 
   43       1.717668883652e-10       9.656198809364e-15       2.064939791110e-13       0.000000000000e+00       7.789566181658e-11       8.503891962892e-12      -6.015310882432e-15 
   44       1.742153468002e-10       1.041931554088e-14       1.934217803412e-13       0.000000000000e+00       7.423872536784e-11       8.139440007256e-12      -6.948618314422e-15 
   45       1.766944547897e-10       1.121898986980e-14       1.789457846797e-13       0.000000000000e+00       7.079653557074e-11       7.798170157999e-12      -8.207914811282e-15 
   46       1.792059856223e-10       1.205538765001e-14       1.629455499442e-13       0.000000000000e+00       6.756368744596e-11       7.479346356165e-12      -9.585078910016e-15 
   47       1.817487152424e-10       1.292889434513e-14       1.452907867678e-13       0.000000000000e+00       6.453642304877e-11       7.181647320606e-12      -1.088380538652e-14 
   48       1.843182339253e-10       1.383984653097e-14       1.258347032231e-13       0.000000000000e+00       6.170138134530e-11       6.902588203612e-12      -1.187346053133e-14 
   49       1.869066820729e-10       1.478853015442e-14       1.044130445261e-13       0.000000000000e+00       5.903488404835e-11       6.638437600039e-12      -1.228728640633e-14 
   50       1.895059670704e-10       1.577518057440e-14       8.088891418350e-14       0.000000000000e+00       5.651006876618e-11       6.385300179069e-12      -1.190765462368e-14 
   51       1.921190562030e-10       1.679998673730e-14       5.530380808602e-14       0.000000000000e+00       5.412222791681e-11       6.142903560476e-12      -1.085327501675e-14 
   52       1.947512923809e-10       1.786308512521e-14       2.776591698255e-14       0.000000000000e+00       5.186911329915e-11       5.911695888308e-12      -9.366842463856e-15 
   53       1.974070829838e-10       1.896455645503e-14      -1.590906042262e-15       0.000000000000e+00       4.974335322205e-11       5.691742577381e-12      -7.737047210113e-15 
   54       2.000897994712e-10       2.010442402112e-14      -3.260595144279e-14       0.000000000000e+00       4.773210762559e-11       5.482698175232e-12      -6.300875572206e-15 
   55       2.028018184083e-10       2.128266502657e-14      -6.513027240370e-14       0.000000000000e+00       4.582098685173e-11       5.284003070113e-12      -5.364728950887e-15 
   56       2.055448864604e-10       2.249925166979e-14      -9.915651272043e-14       0.000000000000e+00       4.400773804843e-11       5.095595300788e-12      -4.939562966584e-15 
   57       2.083196702310e-10       2.375411736189e-14      -1.347192393470e-13       0.000000000000e+00       4.229135467984e-11       4.917326289577e-12      -4.943981064133e-15 
   58       2.111255299764e-10       2.504714350624e-14      -1.718583040779e-13       0.000000000000e+00       4.066793589202e-11       4.748732532947e-12      -5.278808009848e-15 
   59       2.139604247260e-10       2.637815834728e-14      -2.106192005905e-13       0.000000000000e+00       3.913050775027e-11       4.589016223707e-12      -5.826227673217e-15 
