# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.494819707314e-10       7.287377122401e-15       4.813884795060e-13       2.390983359244e-19       8.824625369449e-09       4.854313198208e-10      -2.509259701685e-12 
    3       1.409119503215e-10       1.233937616664e-14       6.057230208759e-13       4.784283308434e-19       5.420116557761e-09       3.460040237597e-10      -2.206924744469e-12 
    4       1.324551399909e-10       1.440677347143e-14       6.265686018559e-13       7.978871988893e-19       3.766623801085e-09       2.633898175758e-10      -1.760417154514e-12 
    5       1.257528873079e-10       1.332295871357e-14       5.867527600329e-13       1.197761449303e-18       2.811313185162e-09       2.090132428983e-10      -1.306612851127e-12 
    6       1.208145411157e-10       1.028059253424e-14       5.163247773373e-13       1.678390712197e-18       2.196135837256e-09       1.706906656865e-10      -8.927942607867e-13 
    7       1.173443856124e-10       6.814690502098e-15       4.356608788089e-13       2.240156492357e-18       1.771999401057e-09       1.423958587124e-10      -5.430689061749e-13 
    8       1.150232396556e-10       4.028527165563e-15       3.569970159342e-13       2.883469707173e-18       1.464688430739e-09       1.207652980333e-10      -2.681935142168e-13 
    9       1.136058652629e-10       2.331005260927e-15       2.875830869582e-13       3.608757501349e-18       1.233360327083e-09       1.037795268790e-10      -6.979015559898e-14 
   10       1.128785575386e-10       1.570751223384e-15       2.314866545260e-13       4.416449858122e-18       1.054019269203e-09       9.019357472107e-11       5.746866076798e-14 
   11       1.127014274856e-10       1.347098947731e-15       1.903788187204e-13       5.306966532703e-18       8.886957544380e-10       7.947299546238e-11       1.231705029739e-13 
   12       1.129660078496e-10       1.290830616564e-15       1.639844376810e-13       6.280704818297e-18       7.765339246906e-10       7.025126395519e-11       1.419382268210e-13 
   13       1.135525761206e-10       1.204567910067e-15       1.505337506735e-13       7.338028618900e-18       6.844622029879e-10       6.271820800607e-11       1.275298505330e-13 
   14       1.143624585367e-10       1.060340907210e-15       1.474140954543e-13       8.479259247718e-18       6.078562657828e-10       5.618750002703e-11       9.266270085532e-14 
