#scalar perturbations for mode k = 1.000000000000e-04 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_scf             19:theta_scf             20:omega_scf             21:delta0_scf            22:delta1_scf         
       1.723410684149e-02       3.718355995327e-08      -9.900450875262e-13      -1.421847103650e-23       5.719911952047e-20       1.429977988012e-19       8.882263737584e-33       2.859955976023e-20      -7.425338156447e-13      -1.421847103649e-23       6.011209463062e-01       6.994398857748e-01      -9.900450875262e-13      -2.105661593704e-23       1.190275429913e-13      -7.425338156447e-13       0.000000000000e+00      -2.841466993810e-19      -4.896954045583e-29       1.481729512202e-10      -2.841466993810e-19      -8.505212882621e-16 
       1.725342870757e-02       3.722524817743e-08      -9.922670780976e-13      -1.426638121835e-23       5.739155290593e-20       1.434788822648e-19       8.932140935090e-33       2.869577645296e-20      -7.442003085732e-13      -1.426638121835e-23       6.011217469313e-01       6.994407628471e-01      -9.922670780976e-13      -2.112756833980e-23       1.192946797052e-13      -7.442003085732e-13       0.000000000000e+00      -2.860667043050e-19      -4.935531618924e-29       1.481729495731e-10      -2.860667043050e-19      -8.543459587876e-16 
       1.727275057366e-02       3.726693640205e-08      -9.944915463172e-13      -1.431439841760e-23       5.758442038291e-20       1.439610509573e-19       8.982242408935e-33       2.879221019145e-20      -7.458686597379e-13      -1.431439841760e-23       6.011225323904e-01       6.994416225498e-01      -9.944915463172e-13      -2.119867923196e-23       1.195621137315e-13      -7.458686597379e-13       0.000000000000e+00      -2.879973820231e-19      -4.974369237128e-29       1.481729479260e-10      -2.879973820231e-19      -8.581834285533e-16 
       1.735421836383e-02       3.744270863956e-08      -1.003896072195e-12      -1.451795510614e-23       5.840279188817e-20       1.460069797204e-19       9.196032823367e-33       2.920139594408e-20      -7.529220541463e-13      -1.451795510614e-23       6.011238497414e-01       6.994430533899e-01      -1.003896072195e-12      -2.150013577426e-23       1.206927595079e-13      -7.529220541463e-13       0.000000000000e+00      -2.962489408624e-19      -5.140974727503e-29       1.481729409807e-10      -2.962489408624e-19      -8.744956039238e-16 
       1.743568615400e-02       3.761848088531e-08      -1.013343831843e-12      -1.472338847626e-23       5.922909789302e-20       1.480727447325e-19       9.413909368633e-33       2.961454894651e-20      -7.600078738821e-13      -1.472338847625e-23       6.011241535333e-01       6.994433679294e-01      -1.013343831843e-12      -2.180437162070e-23       1.218286004712e-13      -7.600078738821e-13       0.000000000000e+00      -3.046918269585e-19      -5.312318429506e-29       1.481729340344e-10      -3.046918269585e-19      -8.910338305378e-16 
       1.751715394418e-02       3.779425313930e-08      -1.022835537709e-12      -1.493073753988e-23       6.006322496260e-20       1.501580624065e-19       9.635906323230e-33       3.003161248130e-20      -7.671266532818e-13      -1.493073753987e-23       6.011241646847e-01       6.994433607676e-01      -1.022835537709e-12      -2.211144454623e-23       1.229697241102e-13      -7.671266532818e-13       0.000000000000e+00      -3.133328692180e-19      -5.488527116322e-29       1.481729270871e-10      -3.133328692180e-19      -9.078039124044e-16 
       1.759862173435e-02       3.797002540153e-08      -1.032371441441e-12      -1.514002202704e-23       6.090515821656e-20       1.522628955414e-19       9.862073575835e-33       3.045257910828e-20      -7.742785810809e-13      -1.514002202702e-23       6.011241250340e-01       6.994432979390e-01      -1.032371441441e-12      -2.242138377066e-23       1.241161613748e-13      -7.742785810809e-13       0.000000000000e+00      -3.221769790086e-19      -5.669720847428e-29       1.481729201386e-10      -3.221769790086e-19      -9.248093485559e-16 
       1.777368933615e-02       3.834774560995e-08      -1.053013044500e-12      -1.559636749458e-23       6.274091077298e-20       1.568522769325e-19       1.036246033964e-32       3.137045538649e-20      -7.897597833753e-13      -1.559636749455e-23       6.011242123395e-01       6.994433386817e-01      -1.053013044500e-12      -2.309720734009e-23       1.265977616127e-13      -7.897597833753e-13       0.000000000000e+00      -3.418928725524e-19      -6.076516528086e-29       1.481729052034e-10      -3.418928725524e-19      -9.621630352826e-16 
       1.794875693795e-02       3.872546585645e-08      -1.073858976495e-12      -1.606179284209e-23       6.461318248284e-20       1.615329562071e-19       1.088295470053e-32       3.230659124142e-20      -8.053942323710e-13      -1.606179284205e-23       6.011243120294e-01       6.994433925880e-01      -1.073858976495e-12      -2.378647792289e-23       1.291039259098e-13      -8.053942323710e-13       0.000000000000e+00      -3.626043686182e-19      -6.508077995438e-29       1.481728902631e-10      -3.626043686182e-19      -1.000637177725e-15 
       1.812382453974e-02       3.910318614104e-08      -1.094909238515e-12      -1.653638572482e-23       6.652233637273e-20       1.663058409318e-19       1.142415723211e-32       3.326116818636e-20      -8.211819288865e-13      -1.653638572477e-23       6.011244069659e-01       6.994434432985e-01      -1.094909238515e-12      -2.448932533870e-23       1.316346543349e-13      -8.211819288865e-13       0.000000000000e+00      -3.843504513522e-19      -6.965648581619e-29       1.481728753177e-10      -3.843504513522e-19      -1.040253508080e-15 
