#scalar perturbations for mode k = 1.000000000000e+00 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_scf             19:theta_scf             20:omega_scf             21:delta0_scf            22:delta1_scf         
       1.721483816581e-02       3.714198649144e-08      -9.878316275669e-05      -1.417079690400e-07       5.700422890907e-12       1.425105722727e-11       8.832216740069e-21       2.850211445454e-12      -7.408737206752e-05      -1.417079690400e-07       6.011200801219e-01       6.994389360190e-01      -9.878316275186e-05      -2.098601311312e-07       1.187614312697e-05      -7.408737207506e-05       0.000000000000e+00      -2.822423319168e-11      -4.858739094198e-13       1.481729528626e-02      -2.822423319168e-11      -8.467195894868e-08 
       1.721489135621e-02       3.714210125330e-08      -9.878377317534e-05      -1.417092825825e-07       5.700475730678e-12       1.425118932670e-11       8.832353190258e-21       2.850237865339e-12      -7.408782988151e-05      -1.417092825825e-07       6.011200800580e-01       6.994389359047e-01      -9.878377316568e-05      -2.098620764169e-07       1.187621651107e-05      -7.408782989658e-05       0.000000000000e+00      -2.822475632721e-11      -4.858844183306e-13       1.481729528581e-02      -2.822475632721e-11      -8.467300538049e-08 
       1.721494454661e-02       3.714221601516e-08      -9.878438359587e-05      -1.417105961331e-07       5.700528570777e-12       1.425132142694e-11       8.832489642135e-21       2.850264285388e-12      -7.408828769691e-05      -1.417105961331e-07       6.011200799940e-01       6.994389357903e-01      -9.878438358137e-05      -2.098640217145e-07       1.187628989541e-05      -7.408828771952e-05       0.000000000000e+00      -2.822527947080e-11      -4.858949274341e-13       1.481729528535e-02      -2.822527947080e-11      -8.467405182196e-08 
       1.721524034801e-02       3.714285422654e-08      -9.878777828676e-05      -1.417179011640e-07       5.700822430447e-12       1.425205607612e-11       8.833248506996e-21       2.850411215223e-12      -7.409083371507e-05      -1.417179011640e-07       6.011200796184e-01       6.994389351323e-01      -9.878777824538e-05      -2.098748400717e-07       1.187669800280e-05      -7.409083377960e-05       0.000000000000e+00      -2.822818890548e-11      -4.859533739583e-13       1.481729528283e-02      -2.822818890548e-11      -8.467987143820e-08 
       1.721553614940e-02       3.714349243792e-08      -9.879117303497e-05      -1.417252064416e-07       5.701116300423e-12       1.425279075106e-11       8.834007424338e-21       2.850558150211e-12      -7.409337977623e-05      -1.417252064416e-07       6.011200792327e-01       6.994389344635e-01      -9.879117296671e-05      -2.098856587943e-07       1.187710611708e-05      -7.409337988268e-05       0.000000000000e+00      -2.823109858588e-11      -4.860118264929e-13       1.481729528031e-02      -2.823109858588e-11      -8.468569134927e-08 
       1.721583195080e-02       3.714413064929e-08      -9.879456784121e-05      -1.417325119690e-07       5.701410180554e-12       1.425352545139e-11       8.834766393929e-21       2.850705090277e-12      -7.409592588091e-05      -1.417325119690e-07       6.011200788443e-01       6.994389337916e-01      -9.879456774606e-05      -2.098964778867e-07       1.187751423833e-05      -7.409592602928e-05       0.000000000000e+00      -2.823400851505e-11      -4.860702850449e-13       1.481729527779e-02      -2.823400851505e-11      -8.469151155882e-08 
       1.721612775220e-02       3.714476886067e-08      -9.879796270573e-05      -1.417398177472e-07       5.701704070790e-12       1.425426017697e-11       8.835525415692e-21       2.850852035395e-12      -7.409847202930e-05      -1.417398177472e-07       6.011200784557e-01       6.994389331194e-01      -9.879796258370e-05      -2.099072973506e-07       1.187792236660e-05      -7.409847221960e-05       0.000000000000e+00      -2.823691869408e-11      -4.861287496198e-13       1.481729527527e-02      -2.823691869408e-11      -8.469733206816e-08 
       1.721821968161e-02       3.714928233885e-08      -9.882197310450e-05      -1.417914919192e-07       5.703782772384e-12       1.425945693096e-11       8.840894762709e-21       2.851891386192e-12      -7.411647982838e-05      -1.417914919192e-07       6.011200757162e-01       6.994389283765e-01      -9.882197279230e-05      -2.099838240153e-07       1.188080888010e-05      -7.411648031524e-05       0.000000000000e+00      -2.825750683723e-11      -4.865423875279e-13       1.481729525744e-02      -2.825750683723e-11      -8.473850370841e-08 
       1.722031161103e-02       3.715379581704e-08      -9.884598642044e-05      -1.418431786478e-07       5.705861978918e-12       1.426465494730e-11       8.846266719420e-21       2.852930989459e-12      -7.413448981533e-05      -1.418431786478e-07       6.011200729857e-01       6.994389236446e-01      -9.884598591800e-05      -2.100603692756e-07       1.188369574429e-05      -7.413449059887e-05       0.000000000000e+00      -2.827810749400e-11      -4.869563270548e-13       1.481729523961e-02      -2.827810749400e-11      -8.477969035817e-08 
       1.722240354044e-02       3.715830929523e-08      -9.887000265371e-05      -1.418948779351e-07       5.707941690451e-12       1.426985422613e-11       8.851641286771e-21       2.853970845225e-12      -7.415250199028e-05      -1.418948779351e-07       6.011200702644e-01       6.994389189237e-01      -9.887000196096e-05      -2.101369331346e-07       1.188658295918e-05      -7.415250307060e-05       0.000000000000e+00      -2.829872067089e-11      -4.873705684022e-13       1.481729522178e-02      -2.829872067089e-11      -8.482089202174e-08 
