# Matter power spectrum P(k) at redshift z=0
# for k=1.045e-05 to 14.8025 h/Mpc,
# number of wavenumbers equal to 618
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045004620253e-05       5.246577591912e+01 
       2.333096513702e-05       1.136046462385e+02 
       3.625718247313e-05       1.736018657945e+02 
       4.926347712992e-05       2.331315435752e+02 
       6.238520327183e-05       2.925730342501e+02 
       7.565860555020e-05       3.522080659490e+02 
       8.912114442490e-05       4.122759239837e+02 
       1.028118358927e-04       4.729959141996e+02 
       1.167716099825e-04       5.345788808269e+02 
       1.310436924108e-04       5.972341033521e+02 
       1.456740137969e-04       6.611740559229e+02 
       1.480253419385e-04       6.714248962043e+02 
       1.607116507784e-04       7.266180782366e+02 
       1.762093031872e-04       7.937954845165e+02 
       1.922238110789e-04       8.629483793589e+02 
       2.088167147455e-04       9.343343440555e+02 
       2.260548597671e-04       1.008229080393e+03 
       2.440110474884e-04       1.084929047435e+03 
       2.627647288310e-04       1.164754123044e+03 
       2.824027357964e-04       1.248050249821e+03 
       3.030200400484e-04       1.335192048190e+03 
       3.247205212055e-04       1.426585291624e+03 
       3.476177185250e-04       1.522669132763e+03 
       3.718355281381e-04       1.623917917778e+03 
       3.975087936478e-04       1.730842330058e+03 
       4.247837207500e-04       1.843989604685e+03 
       4.538180271228e-04       1.963942398083e+03 
       4.847807184906e-04       2.091315921520e+03 
       5.178513630873e-04       2.226752775982e+03 
       5.532187238091e-04       2.370915046810e+03 
       5.910786060521e-04       2.524473107055e+03 
       6.316307969550e-04       2.688090761287e+03 
       6.750750164675e-04       2.862406661912e+03 
       7.216058787634e-04       3.048012092197e+03 
       7.714069757735e-04       3.245425960097e+03 
       8.246443363167e-04       3.455068140232e+03 
       8.814596662420e-04       3.677233182771e+03 
       9.419639072740e-04       3.912066609843e+03 
       1.006231728035e-03       4.159546350973e+03 
       1.074297546411e-03       4.419471698866e+03 
       1.146153560912e-03       4.691461552677e+03 
       1.221750050002e-03       4.974962487509e+03 
       1.300997921808e-03       5.269266455312e+03 
       1.383773220670e-03       5.573536027904e+03 
       1.469923080916e-03       5.886834777133e+03 
       1.559272502511e-03       6.208159824847e+03 
       1.651631318563e-03       6.536473300074e+03 
       1.746800812990e-03       6.870731377071e+03 
       1.844579592092e-03       7.209909130991e+03 
       1.944768476643e-03       7.553017758998e+03 
       2.047174329727e-03       7.899122243836e+03 
       2.151612850910e-03       8.247350187831e+03 
       2.257910443451e-03       8.596894977716e+03 
       2.365905301241e-03       8.947022133720e+03 
       2.475447873892e-03       9.297066434545e+03 
       2.586400861174e-03       9.646430049234e+03 
       2.698638869852e-03       9.994581021230e+03 
       2.812047843383e-03       1.034104647963e+04 
       2.926524351773e-03       1.068540891877e+04 
       3.041974807861e-03       1.102730216882e+04 
       3.158314658304e-03       1.136640571331e+04 
       3.275467582952e-03       1.170244111035e+04 
       3.393364725036e-03       1.203516728464e+04 
       3.511943965978e-03       1.236437411750e+04 
       3.631149252483e-03       1.268988253251e+04 
       3.750929979113e-03       1.301153978007e+04 
       3.871240426583e-03       1.332921539057e+04 
       3.992039254011e-03       1.364279472661e+04 
       4.113289042173e-03       1.395219042305e+04 
       4.234955884129e-03       1.425732321565e+04 
       4.357009019278e-03       1.455813143469e+04 
       4.479420506863e-03       1.485456454621e+04 
       4.602164935033e-03       1.514658355340e+04 
       4.725219161804e-03       1.543415598719e+04 
       4.848562084504e-03       1.571723584074e+04 
       4.972174434572e-03       1.599588077154e+04 
       5.096038594895e-03       1.627000789793e+04 
       5.220138437130e-03       1.653966802982e+04 
       5.344459176733e-03       1.680490218650e+04 
       5.468987243675e-03       1.706567431626e+04 
       5.593710167039e-03       1.732200486445e+04 
       5.718616471917e-03       1.757390402630e+04 
       5.843695587193e-03       1.782092600879e+04 
       5.968937762975e-03       1.806404520278e+04 
       6.094333996576e-03       1.830279579224e+04 
       6.219875966090e-03       1.853721717305e+04 
       6.345555970706e-03       1.876742976529e+04 
       6.471366877007e-03       1.899334709026e+04 
       6.597302070604e-03       1.921501479365e+04 
       6.723355412513e-03       1.943267279531e+04 
       6.849521199768e-03       1.964585328137e+04 
       6.975794129807e-03       1.985502075227e+04 
       7.102169268238e-03       2.006010344118e+04 
       7.228642019628e-03       2.026113963536e+04 
       7.355208100987e-03       2.045814247287e+04 
       7.481863517695e-03       2.065120511804e+04 
       7.608604541598e-03       2.084031798039e+04 
       7.735427691064e-03       2.102553107544e+04 
       7.862329712808e-03       2.120675083680e+04 
       7.989307565300e-03       2.138432717893e+04 
       8.116358403614e-03       2.155813901462e+04 
       8.243479565565e-03       2.172820700111e+04 
       8.370668559026e-03       2.189460133800e+04 
       8.497923050299e-03       2.205734296917e+04 
       8.625240853451e-03       2.221646063160e+04 
       8.752619920524e-03       2.237196689371e+04 
       8.880058332533e-03       2.252399854524e+04 
       9.007554291193e-03       2.267246786530e+04 
       9.135106111298e-03       2.281739821490e+04 
       9.262712213695e-03       2.295902795096e+04 
       9.390371118815e-03       2.309737341116e+04 
       9.518081440694e-03       2.323224578362e+04 
       9.645841881455e-03       2.336388169755e+04 
       9.773651226204e-03       2.349217258089e+04 
       9.901508338314e-03       2.361725854835e+04 
       1.002941215506e-02       2.373896399612e+04 
       1.015736168357e-02       2.385771182896e+04 
       1.028535599707e-02       2.397349295480e+04 
       1.041339423145e-02       2.408584100853e+04 
       1.054147558196e-02       2.419546579838e+04 
       1.066959930030e-02       2.430172382405e+04 
       1.079776469180e-02       2.440535151651e+04 
       1.092597111285e-02       2.450589464529e+04 
       1.105421796849e-02       2.460346065889e+04 
       1.118250471020e-02       2.469803943377e+04 
       1.131083083381e-02       2.478991868995e+04 
       1.143919587758e-02       2.487916266131e+04 
       1.156759942040e-02       2.496542712330e+04 
       1.169604108014e-02       2.504897121105e+04 
       1.182452051209e-02       2.512993327601e+04 
       1.195303740750e-02       2.520794912130e+04 
       1.208159149227e-02       2.528342703173e+04 
       1.221018252566e-02       2.535623980949e+04 
       1.233881029918e-02       2.542657487246e+04 
       1.246747463547e-02       2.549442425742e+04 
       1.259617538733e-02       2.555960600660e+04 
       1.272491243676e-02       2.562213329306e+04 
       1.285368569412e-02       2.568237351510e+04 
       1.298249509734e-02       2.574017294483e+04 
       1.311134061116e-02       2.579547408863e+04 
       1.324022222644e-02       2.584852273993e+04 
       1.336913995957e-02       2.589921051943e+04 
       1.349809385184e-02       2.594766968319e+04 
       1.362708396894e-02       2.599358323095e+04 
       1.375611040048e-02       2.603727892273e+04 
       1.388517325948e-02       2.607879896879e+04 
       1.401427268206e-02       2.611807753380e+04 
       1.414340882696e-02       2.615532442361e+04 
       1.427258187530e-02       2.619032770240e+04 
       1.440179203021e-02       2.622328777855e+04 
       1.453103951663e-02       2.625375357073e+04 
       1.466032458099e-02       2.628270415539e+04 
       1.478964749108e-02       2.630931550254e+04 
       1.480253419385e-02       2.631186703905e+04 
       1.491900853582e-02       2.633382763764e+04 
       1.504840802513e-02       2.635641062251e+04 
       1.517784628979e-02       2.637706821788e+04 
       1.530732368135e-02       2.639564459662e+04 
       1.543684057207e-02       2.641250524623e+04 
       1.556639735481e-02       2.642740484842e+04 
       1.569599444305e-02       2.644032327971e+04 
       1.582563227087e-02       2.645163125433e+04 
       1.595531129293e-02       2.646086036993e+04 
       1.608503198455e-02       2.646846231088e+04 
       1.621479484172e-02       2.647435704114e+04 
       1.634460038120e-02       2.647832055714e+04 
       1.647444914058e-02       2.648051382818e+04 
       1.660434167842e-02       2.648130264485e+04 
       1.673427857435e-02       2.648010921260e+04 
       1.686426042924e-02       2.647741370905e+04 
       1.699428786532e-02       2.647309208924e+04 
       1.712436152641e-02       2.646710788670e+04 
       1.725448207810e-02       2.645955062418e+04 
       1.738465020794e-02       2.645057091689e+04 
       1.751486662569e-02       2.643984775173e+04 
       1.764513206356e-02       2.642772875101e+04 
       1.777544727651e-02       2.641390766546e+04 
       1.790581304245e-02       2.639876846724e+04 
       1.803623016263e-02       2.638215756600e+04 
       1.816669946189e-02       2.636413330408e+04 
       1.829722178901e-02       2.634472160228e+04 
       1.842779801706e-02       2.632387519917e+04 
       1.855842904377e-02       2.630176578410e+04 
       1.868911579188e-02       2.627826939714e+04 
       1.881985920959e-02       2.625328594405e+04 
       1.895066027093e-02       2.622706791587e+04 
       1.908151997619e-02       2.619975234139e+04 
       1.921243935242e-02       2.617098617693e+04 
       1.934341945385e-02       2.614085587291e+04 
       1.947446136238e-02       2.610975940039e+04 
       1.960556618811e-02       2.607737156471e+04 
       1.973673506984e-02       2.604368342206e+04 
       1.986796917561e-02       2.600892650098e+04 
       1.999926970329e-02       2.597303474103e+04 
       2.013063788112e-02       2.593608276911e+04 
       2.026207496835e-02       2.589781985733e+04 
       2.039358225581e-02       2.585857231829e+04 
       2.052516106661e-02       2.581838995300e+04 
       2.065681275677e-02       2.577701344702e+04 
       2.078853871590e-02       2.573452989742e+04 
       2.092034036793e-02       2.569106728040e+04 
       2.105221917183e-02       2.564690731218e+04 
       2.118417662234e-02       2.560156328314e+04 
       2.131621425079e-02       2.555504582699e+04 
       2.144833362590e-02       2.550764096023e+04 
       2.158053635454e-02       2.545950438426e+04 
       2.171282408269e-02       2.541043802777e+04 
       2.184519849624e-02       2.536025396334e+04 
       2.197766132193e-02       2.530950756051e+04 
       2.211021432829e-02       2.525770820424e+04 
       2.224285932658e-02       2.520509891662e+04 
       2.237559817184e-02       2.515169928688e+04 
       2.250843276386e-02       2.509743188900e+04 
       2.264136504829e-02       2.504226125784e+04 
       2.277439701769e-02       2.498650471501e+04 
       2.290753071268e-02       2.492999523428e+04 
       2.304076822313e-02       2.487272795252e+04 
       2.317411168930e-02       2.481456266613e+04 
       2.330756330311e-02       2.475583096124e+04 
       2.344112530944e-02       2.469623302056e+04 
       2.357480000740e-02       2.463622778418e+04 
       2.370858975173e-02       2.457533007541e+04 
       2.384249695415e-02       2.451386759354e+04 
       2.397652408488e-02       2.445188424236e+04 
       2.411067367405e-02       2.438901192421e+04 
       2.424494831332e-02       2.432563495263e+04 
       2.437935065740e-02       2.426170667186e+04 
       2.451388342574e-02       2.419717579190e+04 
       2.464854940421e-02       2.413205479364e+04 
       2.478335144682e-02       2.406635479453e+04 
       2.491829247759e-02       2.400018014112e+04 
       2.505337549235e-02       2.393349400723e+04 
       2.518860356073e-02       2.386625873355e+04 
       2.532397982808e-02       2.379848324784e+04 
       2.545950751762e-02       2.373024938248e+04 
       2.559518993248e-02       2.366155217640e+04 
       2.573103045796e-02       2.359240299534e+04 
       2.586703256377e-02       2.352275326231e+04 
       2.600319980641e-02       2.345268549127e+04 
       2.613953583160e-02       2.338218620091e+04 
       2.627604437675e-02       2.331126333653e+04 
       2.641272927365e-02       2.323996852855e+04 
       2.654959445108e-02       2.316835951196e+04 
       2.668664393768e-02       2.309624079963e+04 
       2.682388186478e-02       2.302375282568e+04 
       2.696131246941e-02       2.295102596314e+04 
       2.709894009743e-02       2.287781684114e+04 
       2.723676920671e-02       2.280438756217e+04 
       2.737480437047e-02       2.273060191370e+04 
       2.751305028073e-02       2.265651289045e+04 
       2.765151175192e-02       2.258207673814e+04 
       2.779019372454e-02       2.250744128987e+04 
       2.792910126904e-02       2.243247878143e+04 
       2.806823958985e-02       2.235720422531e+04 
